Series;Time;Value
1w;2019-05-24T02:15:00+05:30;100.8
1w;2019-05-24T02:16:00+05:30;98.4
1w;2019-05-24T02:17:00+05:30;96.4
1w;2019-05-24T02:18:00+05:30;99.2
1w;2019-05-24T02:19:00+05:30;100
1w;2019-05-24T02:20:00+05:30;100.8
1w;2019-05-24T02:21:00+05:30;102.4
1w;2019-05-24T02:22:00+05:30;102
1w;2019-05-24T02:23:00+05:30;99.6
1w;2019-05-24T02:24:00+05:30;96.4
1w;2019-05-24T02:25:00+05:30;90.6
1w;2019-05-24T02:26:00+05:30;91.4
1w;2019-05-24T02:27:00+05:30;92
1w;2019-05-24T02:28:00+05:30;90.6
1w;2019-05-24T02:29:00+05:30;88.2
1w;2019-05-24T02:30:00+05:30;93.8
1w;2019-05-24T02:31:00+05:30;92.8
1w;2019-05-24T02:32:00+05:30;92.8
1w;2019-05-24T02:33:00+05:30;91
1w;2019-05-24T02:34:00+05:30;94.6
1w;2019-05-24T02:35:00+05:30;91.8
1w;2019-05-24T02:36:00+05:30;88.8
1w;2019-05-24T02:37:00+05:30;84
1w;2019-05-24T02:38:00+05:30;83.4
1w;2019-05-24T02:39:00+05:30;80.8
1w;2019-05-24T02:40:00+05:30;78.8
1w;2019-05-24T02:41:00+05:30;81.4
1w;2019-05-24T02:42:00+05:30;86
1w;2019-05-24T02:43:00+05:30;86.6
1w;2019-05-24T02:44:00+05:30;87.2
1w;2019-05-24T02:45:00+05:30;91
1w;2019-05-24T02:46:00+05:30;91
1w;2019-05-24T02:47:00+05:30;84.6
1w;2019-05-24T02:48:00+05:30;82.2
1w;2019-05-24T02:49:00+05:30;82.8
1w;2019-05-24T02:50:00+05:30;78.2
1w;2019-05-24T02:51:00+05:30;77.4
1w;2019-05-24T02:52:00+05:30;79.2
1w;2019-05-24T02:53:00+05:30;80.4
1w;2019-05-24T02:54:00+05:30;79
1w;2019-05-24T02:55:00+05:30;81.2
1w;2019-05-24T02:56:00+05:30;82.4
1w;2019-05-24T02:57:00+05:30;83.8
1w;2019-05-24T02:58:00+05:30;85.2
1w;2019-05-24T02:59:00+05:30;83.2
1w;2019-05-24T03:00:00+05:30;81.2
1w;2019-05-24T03:01:00+05:30;75.2
1w;2019-05-24T03:02:00+05:30;74.2
1w;2019-05-24T03:03:00+05:30;68.8
1w;2019-05-24T03:04:00+05:30;72.8
1w;2019-05-24T03:05:00+05:30;70.2
1w;2019-05-24T03:06:00+05:30;70
1w;2019-05-24T03:07:00+05:30;66.4
1w;2019-05-24T03:08:00+05:30;67.8
1w;2019-05-24T03:09:00+05:30;64.4
1w;2019-05-24T03:10:00+05:30;64.8
1w;2019-05-24T03:11:00+05:30;64
1w;2019-05-24T03:12:00+05:30;66
1w;2019-05-24T03:13:00+05:30;66
1w;2019-05-24T03:14:00+05:30;69
1w;2019-05-24T03:15:00+05:30;69.4
1w;2019-05-24T03:16:00+05:30;68.8
1w;2019-05-24T03:17:00+05:30;68.2
1w;2019-05-24T03:18:00+05:30;69.2
1w;2019-05-24T03:19:00+05:30;61.4
1w;2019-05-24T03:20:00+05:30;59.4
1w;2019-05-24T03:21:00+05:30;62
1w;2019-05-24T03:22:00+05:30;60.8
1w;2019-05-24T03:23:00+05:30;58.2
1w;2019-05-24T03:24:00+05:30;60.2
1w;2019-05-24T03:25:00+05:30;59.8
1w;2019-05-24T03:26:00+05:30;58
1w;2019-05-24T03:27:00+05:30;58.4
1w;2019-05-24T03:28:00+05:30;57.6
1w;2019-05-24T03:29:00+05:30;59
1w;2019-05-24T03:30:00+05:30;59.4
1w;2019-05-24T03:31:00+05:30;57
1w;2019-05-24T03:32:00+05:30;53.8
1w;2019-05-24T03:33:00+05:30;54
1w;2019-05-24T03:34:00+05:30;51.2
1w;2019-05-24T03:35:00+05:30;50.2
1w;2019-05-24T03:36:00+05:30;47.8
1w;2019-05-24T03:37:00+05:30;48.4
1w;2019-05-24T03:38:00+05:30;48.6
1w;2019-05-24T03:39:00+05:30;47.8
1w;2019-05-24T03:40:00+05:30;47
1w;2019-05-24T03:41:00+05:30;49.8
1w;2019-05-24T03:42:00+05:30;46.8
1w;2019-05-24T03:43:00+05:30;45.2
1w;2019-05-24T03:44:00+05:30;46.8
1w;2019-05-24T03:45:00+05:30;47.6
1w;2019-05-24T03:46:00+05:30;45
1w;2019-05-24T03:47:00+05:30;44.8
1w;2019-05-24T03:48:00+05:30;44.4
1w;2019-05-24T03:49:00+05:30;43
1w;2019-05-24T03:50:00+05:30;42
1w;2019-05-24T03:51:00+05:30;44.8
1w;2019-05-24T03:52:00+05:30;46.2
1w;2019-05-24T03:53:00+05:30;45.4
1w;2019-05-24T03:54:00+05:30;43.4
1w;2019-05-24T03:55:00+05:30;40.4
1w;2019-05-24T03:56:00+05:30;36.4
1w;2019-05-24T03:57:00+05:30;35.2
